Condition,Shapiro_Wilk_p,Lilliefors_p,JB_p,AD_p,KS_p,Tests_Passed,Skewness,Kurtosis
Full Gaze,0.134250475589308,0.0911972673725543,0.5,0.074410449536967,0.479674356916547,5,-0.072326927911477,3.4410592476461
Partial Gaze,0.0466369617616766,0.206623137268269,0.0331056354762486,0.182671587572197,0.63462066825485,3,-0.112144659468005,4.78712268006512
No Gaze,0.521766516885701,0.5,0.356957319192643,0.816206076604477,0.953461686982152,5,0.406416242095314,3.24159125139977
