Group,N,r,R2_simple,p_surr_r2_simple,R2_model,p_surr_r2_lme
Pooled (All),226,-0.148995745136782,0.0221997320688648,0.010989010989011,0.0525383434385103,0.017982017982018
Cond=1 subset,76,-0.164226743752815,0.0269704233636529,0.184815184815185,NaN,NaN
